Terms,docFreq,postList
abad,2,"[2, 29]"
acara,2,"[30, 30]"
ada,9,"[14, 35, 28, 11, 36, 4, 10, 35, 6]"
adalah,7,"[30, 37, 35, 27, 33, 15, 18]"
adrenalin,2,"[17, 9]"
advanture,1,[34]
agama,1,[1]
agendakan,1,[7]
agro,2,"[18, 32]"
air,20,"[19, 19, 5, 3, 21, 37, 24, 23, 21, 17, 31, 16, 30, 17, 30, 21, 13, 13, 13, 13]"
airnya,1,[17]
aja,1,[4]
ajak,1,[13]
akan,6,"[23, 35, 34, 14, 21, 17]"
akhir,3,"[9, 33, 34]"
akomodasi,1,[27]
akses,1,[13]
aktivitas,1,[28]
ala,1,[9]
alam,7,"[31, 30, 33, 16, 30, 30, 0]"
alami,3,"[30, 34, 16]"
alas,1,[14]
alternatif,1,[30]
aman,1,[27]
ambarawa,12,"[12, 26, 26, 20, 26, 30, 20, 12, 26, 12, 22, 20]"
anak,11,"[27, 17, 18, 27, 9, 36, 36, 5, 23, 24, 23]"
and,2,"[18, 34]"
anda,7,"[21, 21, 31, 29, 29, 16, 16]"
aneka,4,"[27, 5, 32, 16]"
angin,1,[15]
angklung,1,[16]
antar,1,[29]
antara,2,"[16, 18]"
antaranya,1,[15]
antik,2,"[33, 35]"
apa,2,"[4, 3]"
api,2,"[20, 20]"
area,6,"[22, 24, 30, 36, 29, 31]"
aren,2,"[37, 16]"
arena,1,[23]
argo,4,"[17, 17, 17, 17]"
arsitekstunya,1,[35]
arsitektur,2,"[35, 26]"
artinya,1,[29]
asalnya,1,[15]
asli,2,"[7, 15]"
aspal,1,[27]
assumpta,1,[12]
asyik,1,[11]
atap,1,[2]
atas,3,"[20, 21, 6]"
atau,6,"[37, 28, 21, 3, 25, 10]"
atraksi,2,"[16, 16]"
atv,4,"[34, 24, 10, 28]"
awal,1,[1]
ayo,2,"[5, 14]"
ayoo,1,[5]
ayunan,1,[14]
b,1,[35]
bag,1,[10]
bagai,1,[34]
bagaikan,1,[19]
bagaimana,1,[10]
bagi,7,"[27, 27, 22, 36, 36, 28, 31]"
bagian,4,"[21, 2, 22, 2]"
bahan,1,[16]
bahasa,2,"[19, 29]"
bahkan,1,[12]
baik,1,[21]
bakal,1,[7]
baladewa,1,[37]
balemong,3,"[35, 35, 35]"
bambu,2,"[21, 16]"
ban,1,[10]
banaran,4,"[18, 18, 18, 18]"
bandungan,5,"[7, 28, 34, 28, 15]"
banget,1,[9]
bangsa,1,[26]
bangunan,5,"[26, 20, 27, 29, 33]"
bantalan,1,[10]
banyak,8,"[4, 22, 11, 11, 34, 28, 28, 36]"
banyu,1,[30]
banyubiru,3,"[25, 14, 2]"
banyukuning,1,[15]
barang,2,"[26, 35]"
barat,2,"[3, 17]"
bareng,2,"[5, 9]"
baru,2,"[14, 13]"
basah,1,[6]
basahan,1,[6]
batur,2,"[10, 10]"
bawah,1,[24]
bawen,4,"[18, 18, 9, 32]"
bebatuan,1,[16]
beberapa,4,"[9, 16, 18, 23]"
beda,1,[21]
begitu,1,[2]
belanda,1,[20]
beliau,1,[1]
benang,2,"[19, 19]"
benih,1,[32]
bentang,1,[16]
bentuk,1,[26]
berada,5,"[5, 14, 34, 15, 27]"
beragam,2,"[16, 15]"
berarti,1,[29]
berasal,2,"[37, 29]"
berbagai,6,"[27, 24, 1, 28, 26, 36]"
berbalut,1,[33]
berbasis,1,[1]
berbau,1,[17]
berbeda,2,"[23, 21]"
bercocok,1,[16]
berdakwah,1,[1]
berdasarkan,1,[2]
berdekatan,1,[37]
berdirinya,1,[1]
berdoa,2,"[22, 8]"
berenang,1,[5]
berfoto,2,"[14, 3]"
berjarak,2,"[30, 25]"
berjauhan,1,[29]
berjuang,1,[26]
berkelok,1,[27]
berkemah,2,"[29, 0]"
berkonsep,1,[34]
berkunjung,1,[30]
berlama,1,[25]
berliku,1,[21]
berlokasi,2,"[28, 19]"
bermain,3,"[13, 18, 9]"
bermotor,1,[13]
bernama,2,"[36, 26]"
bernuansa,1,[32]
berolahraga,1,[28]
berpusat,1,[18]
bersama,5,"[3, 1, 7, 10, 33]"
bersandar,1,[14]
bersantai,1,[10]
berselera,1,[5]
